input_length,exact_match,char_edit_dist,token_edit_dist,accept_rate_1
296,1,0,1104,0.2109
296,1,0,1104,0.2109
296,0,4,1109,0.2073
297,1,0,1103,0.2094
297,1,0,1103,0.2116
297,0,1104,1103,0.8692
298,1,0,1102,0.2123
298,1,0,1102,0.2123
298,0,10,1102,0.213
298,1,0,1102,0.2116
298,1,0,1102,0.2123
298,1,0,1102,0.2116
298,1,0,1102,0.2123
298,1,0,1102,0.2123
298,1,0,1102,0.2109
298,1,0,1102,0.2116
298,1,0,1102,0.2123
298,1,0,1102,0.2123
298,1,0,1102,0.2123
298,0,3475,1102,0.9249
298,0,2,1107,0.2087
298,1,0,1102,0.2123
298,1,0,1102,0.2094
298,1,0,1102,0.2123
298,1,0,1102,0.2094
298,1,0,1102,0.2116
298,1,0,1102,0.2123
298,1,0,1102,0.2123
298,1,0,1102,0.2123
298,1,0,1102,0.2123
298,0,4,1106,0.2102
298,1,0,1102,0.2123
298,1,0,1102,0.2123
298,1,0,1102,0.2123
299,0,2,1102,0.2094
299,1,0,1101,0.2102
299,0,2201,1101,0.2123
300,1,0,1100,0.213
300,1,0,1100,0.2102
300,1,0,1100,0.2137
300,1,0,1100,0.2137
300,1,0,1100,0.2137
300,0,6,1106,0.2102
300,1,0,1100,0.2137
300,1,0,1100,0.2137
300,1,0,1100,0.2116
300,1,0,1100,0.2116
300,0,3,1100,0.2116
300,1,0,1100,0.2123
300,1,0,1100,0.208
300,1,0,1100,0.2137
300,1,0,1100,0.2137
300,1,0,1100,0.2109
300,1,0,1100,0.2137
300,1,0,1100,0.213
300,1,0,1100,0.2137
300,1,0,1100,0.2137
300,1,0,1100,0.213
319,0,1165,1081,0.9378
320,1,0,1080,0.2259
320,1,0,1080,0.228
320,1,0,1080,0.2266
321,0,1850,1079,0.7563
323,0,1081,1077,0.9857
324,1,0,1076,0.2273
324,1,0,1076,0.2302
324,0,1911,1081,0.8127
324,0,4,1080,0.2266
325,0,1,1075,0.2294
325,0,2,1077,0.2266
325,0,11,1087,0.2223
