input_length,exact_match,char_edit_dist,token_edit_dist,accept_rate_1,accept_rate_2,accept_rate_3,accept_rate_4,accept_rate_5
150,0,1376,1251,0.9006,0.5894,0.4932,0.3646,0.1541
150,0,4858,1250,0.9021,0.9006,0.821,0.8309,0.8086
150,0,1335,1254,0.857,0.7446,0.6994,0.5931,0.4839
150,0,5125,1250,0.9836,0.9843,0.8361,0.8209,0.9025
150,0,4388,1250,0.9264,0.9027,0.8139,0.8209,0.7699
150,0,4835,1250,0.8821,0.8834,0.8225,0.8252,0.7993
150,0,3569,1250,0.7927,0.8176,0.7022,0.6626,0.5964
175,0,1279,1225,0.8077,0.7353,0.6042,0.5881,0.438
176,0,1242,1224,0.767,0.691,0.4052,0.4491,0.2674
176,0,1316,1224,0.9006,0.8047,0.7008,0.5888,0.4143
177,0,1316,1225,0.9171,0.8441,0.6972,0.5938,0.3864
178,0,1228,1222,0.8599,0.6695,0.5591,0.3918,0.3935
178,0,1258,1223,0.8556,0.7568,0.67,0.5716,0.4832
178,0,1278,1222,0.7434,0.5858,0.5469,0.3517,0.2724
179,0,1316,1222,0.8799,0.7969,0.5476,0.409,0.2595
179,0,1317,1221,0.8642,0.7754,0.6743,0.5938,0.4394
180,0,1282,1220,0.7891,0.6445,0.5777,0.5351,0.4509
180,0,1296,1220,0.8256,0.7275,0.6084,0.5201,0.4516
180,0,1298,1220,0.8485,0.7732,0.7301,0.6103,0.5384
180,0,1257,1220,0.8914,0.8405,0.7273,0.6311,0.4444
180,0,1272,1221,0.852,0.769,0.7022,0.601,0.5233
180,0,1310,1220,0.9407,0.8491,0.7037,0.5652,0.4108
180,0,1309,1220,0.862,0.7675,0.6779,0.5709,0.4265
180,0,4342,1220,0.8828,0.8763,0.801,0.8109,0.7556
181,0,1306,1222,0.8256,0.7711,0.7008,0.6261,0.5814
181,0,1269,1219,0.8206,0.6688,0.5376,0.4764,0.4057
181,0,1293,1224,0.7913,0.6395,0.4567,0.4334,0.2215
181,0,1317,1219,0.7806,0.6817,0.4903,0.3961,0.2416
183,0,1310,1217,0.9028,0.8348,0.7552,0.5917,0.4115
183,0,1284,1217,0.8149,0.7246,0.6163,0.5437,0.4315
183,0,1287,1217,0.8277,0.7454,0.66,0.5415,0.4466
183,0,1313,1217,0.8649,0.8348,0.7208,0.6691,0.4882
184,0,1289,1225,0.9392,0.877,0.7867,0.7242,0.5133
184,0,1277,1216,0.832,0.5959,0.4331,0.2393,0.2645
184,0,1319,1223,0.827,0.7947,0.7208,0.6447,0.5627
185,0,1273,1215,0.817,0.6817,0.5691,0.437,0.2036
185,0,1313,1215,0.9185,0.8391,0.7351,0.6504,0.3828
185,0,1269,1215,0.8184,0.6559,0.6142,0.5451,0.41
185,0,1299,1216,0.8928,0.7876,0.6163,0.5874,0.3857
185,0,1273,1217,0.8492,0.8062,0.6743,0.5766,0.2946
186,0,4650,1214,0.9435,0.9535,0.874,0.8417,0.8853
186,0,1311,1218,0.8649,0.6202,0.4037,0.293,0.1993
186,0,1364,1218,0.7756,0.5043,0.3006,0.2579,0.2746
186,0,4614,1214,0.8792,0.8856,0.8325,0.8489,0.8222
186,0,1302,1215,0.7756,0.5887,0.4667,0.3904,0.2939
187,0,1311,1213,0.9257,0.834,0.6192,0.5401,0.3656
187,0,1273,1213,0.862,0.8119,0.7301,0.6734,0.5634
187,0,1297,1216,0.8914,0.8083,0.6636,0.5824,0.4695
188,0,1256,1212,0.1351,0.1381,0.136,0.1325,0.1297
188,0,3711,1212,0.8599,0.8827,0.7394,0.6913,0.6538
188,0,1255,1212,0.1351,0.1352,0.1288,0.1311,0.1319
188,0,4406,1212,0.9014,0.8941,0.8304,0.8496,0.8165
